"taxa","median_depth","SampleType","include","raw_read_num"
"KEN-2019-084",4,"Direct stool spotted filter paper",FALSE,"> 1000000"
"KEN-2019-086",4,"Direct stool spotted filter paper",FALSE,"> 1000000"
"TZA-2015-001",42,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2015-002",49,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2015-003",0,"Isolate filter paper",FALSE,"≤ 1000000"
"TZA-2015-004",1,"Isolate filter paper",FALSE,"≤ 1000000"
"TZA-2015-005",28,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2016-010",46,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2016-013",0,"Qiagen isolate extract",FALSE,"≤ 1000000"
"TZA-2016-014",1,"Qiagen isolate extract",FALSE,"≤ 1000000"
"TZA-2017-003",46,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2017-009",50,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2017-014",49,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2017-032",25,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2017-039",1,"Qiagen isolate extract",FALSE,"≤ 1000000"
"TZA-2018-024",58,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-026",59,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-027",64,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-038",60,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-051",1,"Qiagen isolate extract",FALSE,"> 1000000"
"TZA-2018-066",63,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-068",62,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-069",61,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-072",32,"Qiagen isolate extract",TRUE,"> 1000000"
"TZA-2018-074",2,"Qiagen isolate extract",FALSE,"> 1000000"
"TZA-2018-177",49,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2018-178",51,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2018-179",40,"Isolate filter paper",TRUE,"> 1000000"
"TZA-2018-181",49,"Isolate filter paper",TRUE,"> 1000000"
"UGA-2018-006",34,"Isolate filter paper",TRUE,"> 1000000"
"UGA-2018-009",62,"Isolate filter paper",TRUE,"> 1000000"
"UGA-2018-010",32,"Isolate filter paper",TRUE,"> 1000000"
"UGA-2018-026",59,"Isolate filter paper",TRUE,"> 1000000"
"ZMB-2016-034",49,"Isolate filter paper",TRUE,"> 1000000"
